prefetcher,trace,ipc,ipc-per-diff
gcc,ampm-lite,0.339157,16.4172
gcc,ghb-pc-dc,0.306047,5.052
gcc,ip-stride,0.308053,5.7406
gcc,next-line,0.284244,-2.432
gcc,stream,0.276043,-5.247
GemsFDTD,ampm-lite,3.451324,0.1837
GemsFDTD,ghb-pc-dc,3.447773,0.0806
GemsFDTD,ip-stride,3.448985,0.1158
GemsFDTD,next-line,3.425332,-0.5708
GemsFDTD,stream,3.437907,-0.2057
lbm,ampm-lite,2.035,92.4161
lbm,ghb-pc-dc,1.374755,29.9877
lbm,ip-stride,1.529501,44.6194
lbm,next-line,1.600095,51.2943
lbm,stream,1.259173,19.059
leslie3d,ampm-lite,1.623532,64.7876
leslie3d,ghb-pc-dc,1.295898,31.5329
leslie3d,ip-stride,1.407264,42.8365
leslie3d,next-line,1.448414,47.0132
leslie3d,stream,1.033456,4.8952
libquantum,ampm-lite,3.274124,4.0013
libquantum,ghb-pc-dc,3.276536,4.0779
libquantum,ip-stride,3.242776,3.0055
libquantum,next-line,3.293444,4.615
libquantum,stream,3.172061,0.7593
mcf,ampm-lite,0.372714,8.2426
mcf,ghb-pc-dc,0.349371,1.4634
mcf,ip-stride,0.353506,2.6643
mcf,next-line,0.35061,1.8232
mcf,stream,0.342385,-0.5654
milc,ampm-lite,1.179511,20.2991
milc,ghb-pc-dc,1.117595,13.9842
milc,ip-stride,1.136986,15.9619
milc,next-line,1.212129,23.6258
milc,stream,1.068124,8.9387
omnetpp,ampm-lite,2.269448,3.5387
omnetpp,ghb-pc-dc,2.100247,-4.1807
omnetpp,ip-stride,2.220496,1.3054
omnetpp,next-line,1.85322,-15.4508
omnetpp,stream,2.214889,1.0496
