prefetcher,trace,ipc
gcc,ampm-lite,0.339157
gcc,ghb-pc-dc,0.306047
gcc,ip-stride,0.308053
gcc,next-line,0.284244
gcc,skeleton,0.291329
gcc,stream,0.276043
GemsFDTD,ampm-lite,3.451324
GemsFDTD,ghb-pc-dc,3.447773
GemsFDTD,ip-stride,3.448985
GemsFDTD,next-line,3.425332
GemsFDTD,skeleton,3.444995
GemsFDTD,stream,3.437907
lbm,ampm-lite,2.035
lbm,ghb-pc-dc,1.374755
lbm,ip-stride,1.529501
lbm,next-line,1.600095
lbm,skeleton,1.057604
lbm,stream,1.259173
leslie3d,ampm-lite,1.623532
leslie3d,ghb-pc-dc,1.295898
leslie3d,ip-stride,1.407264
leslie3d,next-line,1.448414
leslie3d,skeleton,0.985227
leslie3d,stream,1.033456
libquantum,ampm-lite,3.274124
libquantum,ghb-pc-dc,3.276536
libquantum,ip-stride,3.242776
libquantum,next-line,3.293444
libquantum,skeleton,3.148157
libquantum,stream,3.172061
mcf,ampm-lite,0.372714
mcf,ghb-pc-dc,0.349371
mcf,ip-stride,0.353506
mcf,next-line,0.35061
mcf,skeleton,0.344332
mcf,stream,0.342385
milc,ampm-lite,1.179511
milc,ghb-pc-dc,1.117595
milc,ip-stride,1.136986
milc,next-line,1.212129
milc,skeleton,0.980482
milc,stream,1.068124
omnetpp,ampm-lite,2.269448
omnetpp,ghb-pc-dc,2.100247
omnetpp,ip-stride,2.220496
omnetpp,next-line,1.85322
omnetpp,skeleton,2.191883
omnetpp,stream,2.214889
